state,pct_hs_or_higher,pct_bachelors,pct_advanced_degree
Alabama,87.93,27.43,10.85
Alaska,93.31,32.79,11.91
Arizona,88.97,32.43,12.64
Arkansas,88.67,25.27,9.37
California,84.45,36.19,14.05
Colorado,92.43,44.42,17.04
Connecticut,91.11,42.13,18.94
Delaware,91.36,35.62,15.05
District of Columbia,92.79,63.05,37.82
Florida,89.79,33.16,12.55
Georgia,88.97,34.63,13.7
Hawaii,92.93,35.3,13.1
Idaho,91.26,30.72,10.54
Illinois,90.17,37.14,15.01
Indiana,90.64,28.88,10.39
Iowa,93.32,30.54,9.87
Kansas,91.89,35.4,13.39
Kentucky,87.99,26.98,11.11
Louisiana,86.68,26.45,9.65
Maine,94.53,35.99,13.82
Maryland,91.09,48.55,24.16
Massachusetts,96.1,50.62,28.27
Michigan,91.96,31.67,12.48
Minnesota,94.13,38.9,13.4
Mississippi,86.49,24.78,9.35
Missouri,91.59,31.72,12.24
Montana,94.35,34.8,12.45
Nebraska,92.16,34.45,12.28
Nevada,87.16,27.57,9.64
New Hampshire,94.44,40.98,15.72
New Jersey,90.98,43.1,17.4
New Mexico,87.48,30.05,14.08
New York,88.03,40.9,17.72
North Carolina,89.7,34.91,13.19
North Dakota,93.62,31.74,9.38
Ohio,91.74,30.72,11.79
Oklahoma,88.71,27.92,9.62
Oregon,91.87,36.33,13.88
Pennsylvania,95.89,36.54,16.94
Rhode Island,89.14,36.5,15.61
South Carolina,89.61,31.53,11.95
South Dakota,93.05,31.67,10.11
Tennessee,89.74,30.48,11.28
Texas,85.39,33.12,11.9
Utah,93.17,36.81,12.69
Vermont,94.55,44.44,18.42
Virginia,91.38,41.81,18.33
Washington,92.35,40.97,15.13
West Virginia,88.82,24.12,9.94
Wisconsin,93.33,32.54,11.04
Wyoming,93.59,29.24,10.72
