state,median_household_income_2015
United States,55800
Alabama,44800
Alaska,73400
Arizona,51500
Arkansas,42000
California,64500
Colorado,63900
Connecticut,71300
Delaware,61300
District of Columbia,75600
Florida,49400
Georgia,51200
Hawaii,73500
Idaho,48300
Illinois,59600
Indiana,50500
Iowa,54700
Kansas,53900
Kentucky,45200
Louisiana,45700
Maine,51500
Maryland,75800
Massachusetts,70600
Michigan,51100
Minnesota,63500
Mississippi,40600
Missouri,50200
Montana,49500
Nebraska,55000
Nevada,52400
New Hampshire,70300
New Jersey,72200
New Mexico,45400
New York,60900
North Carolina,47800
North Dakota,60600
Ohio,51100
Oklahoma,48600
Oregon,54100
Pennsylvania,55700
Rhode Island,58100
South Carolina,47200
South Dakota,53000
Tennessee,47300
Texas,55700
Utah,62900
Vermont,57000
Virginia,66300
Washington,64100
West Virginia,42000
Wisconsin,55600
Wyoming,60200
