state,pct_white,pct_black,pct_hispanic,pct_asian,pct_mixed,pct_native
Alabama,65.0,27.0,4.0,1.0,2.0,0.0
Alaska,60.0,2.0,7.0,6.0,8.0,15.0
Arizona,54.0,4.0,32.0,3.0,2.0,4.0
Arkansas,72.0,15.0,8.0,2.0,2.0,1.0
California,36.0,5.0,40.0,15.0,3.0,0.0
Colorado,68.0,4.0,22.0,3.0,3.0,1.0
Connecticut,66.0,10.0,17.0,5.0,3.0,0.0
Delaware,61.0,22.0,10.0,4.0,3.0,0.0
District of Columbia,38.0,41.0,11.0,5.0,4.0,0.0
Florida,53.0,15.0,27.0,3.0,2.0,0.0
Georgia,52.0,31.0,10.0,4.0,3.0,0.0
Hawaii,20.0,1.0,10.0,39.0,18.0,0.0
Idaho,82.0,1.0,13.0,1.0,3.0,1.0
Illinois,61.0,14.0,18.0,6.0,2.0,0.0
Indiana,79.0,9.0,7.0,2.0,2.0,0.0
Iowa,85.0,4.0,6.0,2.0,2.0,0.0
Kansas,76.0,6.0,12.0,3.0,3.0,1.0
Kentucky,85.0,8.0,4.0,2.0,2.0,0.0
Louisiana,59.0,32.0,5.0,2.0,2.0,1.0
Maine,93.0,1.0,2.0,1.0,2.0,1.0
Maryland,50.0,30.0,11.0,6.0,3.0,0.0
Massachusetts,71.0,7.0,12.0,7.0,3.0,0.0
Michigan,75.0,13.0,5.0,3.0,3.0,1.0
Minnesota,79.0,6.0,6.0,5.0,3.0,1.0
Mississippi,57.0,38.0,3.0,1.0,1.0,0.0
Missouri,79.0,11.0,4.0,2.0,3.0,0.0
Montana,86.0,1.0,4.0,1.0,3.0,6.0
Nebraska,79.0,5.0,11.0,2.0,2.0,1.0
Nevada,48.0,9.0,29.0,9.0,4.0,1.0
New Hampshire,90.0,1.0,4.0,3.0,2.0,0.0
New Jersey,55.0,12.0,21.0,10.0,2.0,0.0
New Mexico,37.0,2.0,50.0,2.0,2.0,9.0
New York,55.0,14.0,19.0,9.0,3.0,0.0
North Carolina,63.0,21.0,10.0,3.0,3.0,1.0
North Dakota,84.0,2.0,4.0,1.0,3.0,5.0
Ohio,79.0,12.0,4.0,2.0,3.0,0.0
Oklahoma,65.0,7.0,11.0,2.0,7.0,8.0
Oregon,75.0,2.0,13.0,5.0,4.0,1.0
Pennsylvania,76.0,10.0,8.0,4.0,2.0,0.0
Rhode Island,71.0,6.0,17.0,3.0,3.0,0.0
South Carolina,64.0,26.0,6.0,2.0,2.0,0.0
South Dakota,82.0,2.0,4.0,1.0,2.0,8.0
Tennessee,74.0,16.0,6.0,2.0,2.0,0.0
Texas,41.0,12.0,40.0,5.0,2.0,1.0
Utah,78.0,1.0,14.0,3.0,3.0,1.0
Vermont,93.0,1.0,2.0,2.0,2.0,0.0
Virginia,62.0,19.0,10.0,5.0,3.0,0.0
Washington,69.0,4.0,12.0,8.0,5.0,1.0
West Virginia,92.0,4.0,1.0,1.0,2.0,0.0
Wisconsin,81.0,6.0,7.0,3.0,3.0,1.0
Wyoming,84.0,1.0,10.0,1.0,4.0,2.0
