state,unemployment
Alabama,6.1
Alaska,6.7
Arizona,6.0
Arkansas,5.2
California,6.2
Colorado,3.9
Connecticut,5.6
Delaware,5.0
District of Columbia,6.9
Florida,5.4
Georgia,5.8
Hawaii,3.7
Idaho,4.3
Illinois,5.9
Indiana,4.8
Iowa,3.6
Kansas,4.3
Kentucky,5.4
Louisiana,6.2
Maine,4.4
Maryland,5.2
Massachusetts,4.9
Michigan,5.4
Minnesota,3.8
Mississippi,6.5
Montana,4.1
Nebraska,3.0
Nevada,6.9
New Hampshire,3.4
New Jersey,5.8
New Mexico,6.8
New York,5.3
North Carolina,5.9
North Dakota,2.7
Ohio,4.9
Oklahoma,4.3
Oregon,5.7
Pennsylvania,5.2
Rhode Island,5.9
South Carolina,5.9
South Dakota,3.5
Tennessee,5.7
Texas,4.4
Utah,3.6
Vermont,3.6
Virginia,4.5
Washington,5.6
West Virginia,6.9
Wisconsin,4.6
Wyoming,4.1
